Bigram,Frequência
"('is', 'burned')",1
"('burned', 'in')",1
"('my', 'conscience')",1
"('conscience', 'was')",1
"('was', 'it')",1
"('it', 'worth')",1
"('worth', 'it')",1
"('it', 'i')",1
"('i', 'havent')",1
"('havent', 'heard')",1
"('heard', 'back')",1
"('back', 'yet')",1
"('yet', 'next')",1
"('month', 'producers')",1
"('producers', 'neheart')",1
"('neheart', 'and')",1
"('and', 'swum')",1
"('swum', 'are')",1
"('are', 'releasing')",1
"('releasing', 'their')",1
"('their', 'collaborative')",1
"('collaborative', 'ep')",1
"('ep', 'vertigo')",1
"('vertigo', 'to')",1
"('to', 'kick')",1
"('kick', 'things')",1
"('things', 'off')",1
"('off', 'the')",1
"('the', 'lead')",1
"('lead', 'single')",1
"('single', 'requiem')",1
"('requiem', 'is')",1
"('now', 'blending')",1
"('blending', 'nehearts')",1
"('nehearts', 'style')",1
"('of', 'dark')",1
"('dark', 'ambient')",1
"('ambient', 'which')",1
"('which', 'has')",1
"('has', 'led')",1
"('led', 'to')",1
"('to', 'significant')",1
"('significant', 'virality')",1
"('virality', 'on')",1
"('social', 'media')",1
"('media', 'as')",1
"('as', 'well')",1
"('well', 'as')",1
"('as', 'billions')",1
"('billions', 'of')",1
"('dsps', 'with')",1
"('with', 'swums')",1
"('swums', 'signature')",1
"('signature', 'style')",1
"('of', 'lofi')",1
"('lofi', 'beats')",1
"('beats', 'also')",1
"('also', 'with')",1
"('with', 'hundreds')",1
"('hundreds', 'of')",1
"('of', 'millions')",1
"('millions', 'of')",1
"('dsps', 'the')",1
"('the', 'result')",1
"('result', 'is')",1
"('an', 'immersive')",1
"('immersive', 'and')",1
"('and', 'atmospheric')",1
"('atmospheric', 'listening')",1
"('listening', 'experience')",1
"('experience', 'a')",1
"('a', 'lush')",1
"('lush', 'and')",1
"('and', 'aquatic')",1
"('aquatic', 'instrumental')",1
"('instrumental', 'one')",1
"('one', 'that')",1
"('that', 'feels')",1
"('feels', 'like')",1
"('like', 'dreaming')",1
"('dreaming', 'away')",1
"('away', 'in')",1
"('the', 'depths')",1
"('depths', 'of')",1
"('the', 'sea')",1
"('sea', 'in')",1
"('the', 'middle')",1
"('middle', 'of')",1
"('the', 'night')",1
"('night', 'their')",1
"('their', 'four')",1
"('four', 'song')",1
"('song', 'vertigo')",1
"('vertigo', 'ep')",1
"('ep', 'is')",1
"('out', 'everywhere')",1
"('everywhere', 'on')",1
"('february', 'free')",1
"('download', 'httpshypedditcomshipwrektameimpalawhywontyoumakeupyourmindshipwrekedit')",1
"('httpshypedditcomshipwrektameimpalawhywontyoumakeupyourmindshipwrekedit', 'tour')",1
"('tour', 'dates')",1
"('dates', 'httpswwwsongkickcomartists')",1
"('httpswwwsongkickcomartists', 'ship')",1
"('ship', 'wrek')",1
"('wrek', 'listen')",1
"('listen', 'you')",1
"('guys', 'are')",1
"('are', 'trying')",1
"('trying', 'to')",1
"('do', 'some')",1
"('some', 'shiny')",1
"('shiny', 'shit')",1
"('shit', 'eyes')",1
"('eyes', 'sparkle')",1
"('sparkle', 'i')",1
"('i', 'want')",1
"('want', 'a')",1
"('a', 'diamond')",1
"('diamond', 'you')",1
"('you', 'have')",1
"('have', 'to')",1
"('to', 'win')",1
"('win', 'the')",1
"('the', 'diamond')",1
"('diamond', 'for')",1
"('for', 'me')",1
"('me', 't')",1
"('t', 'couch')",1
"('ep', 'httpsbronzewhalecomcouchmammalsremix')",1
"('httpsbronzewhalecomcouchmammalsremix', 'soft')",1
"('jaw', 'delivers')",1
"('the', 'first')",1
"('first', 'of')",1
"('of', 'our')",1
"('our', 'couch')",1
"('couch', 'mammals')",1
"('mammals', 'ep')",1
"('ep', 'remixes')",1
"('remixes', 'well')",1
"('well', 'be')",1
"('be', 'releasing')",1
"('releasing', 'a')",1
"('a', 'new')",1
"('new', 'remix')",1
"('remix', 'each')",1
"('each', 'week')",1
"('week', 'on')",1
"('on', 'friday')",1
"('friday', 'through')",1
"('through', 'the')",1
"('the', 'end')",1
"('end', 'of')",1
"('the', 'month')",1
"('month', 'from')",1
"('from', 'soft')",1
"('jaw', 'i')",1
"('i', 'wanted')",1
"('a', 'project')",1
"('project', 'that')",1
"('that', 'would')",1
"('would', 'showcase')",1
"('showcase', 'elements')",1
"('elements', 'of')",1
"('of', 'indie')",1
"('indie', 'rock')",1
"('rock', 'edm')",1
"('edm', 'and')",1
"('and', 'hip')",1
"('hop', 'that')",1
"('that', 'got')",1
"('got', 'me')",1
"('me', 'into')",1
"('into', 'music')",1
"('music', 'my')",1
"('my', 'remix')",1
"('of', 'how')",1
"('how', 'u')",1
"('u', 'feeling')",1
"('feeling', 'blends')",1
"('blends', 'lots')",1
"('lots', 'of')",1
"('of', 'classic')",1
"('classic', 'analogue')",1
"('analogue', 'synths')",1
"('synths', 'with')",1
"('with', 'breaks')",1
"('breaks', 'that')",1
"('that', 'felt')",1
"('felt', 'warm')",1
"('warm', 'and')",1
"('and', 'familiar')",1
"('familiar', 'follow')",1
"('whale', 'httpsbronzewhalecomlinks')",1
"('httpsbronzewhalecomlinks', 'follow')",1
"('sofasound', 'httpslinktreesofasound')",1
"('httpslinktreesofasound', 'follow')",1
"('follow', 'soft')",1
"('jaw', 'httpslinktreesoftjaw')",1
"('httpslinktreesoftjaw', 'subscribe')",1
"('infochakrarecordscom', 'the')",1
"('much', 'in')",1
"('in', 'love')",1
"('love', 'by')",1
"('by', 'd')",1
"('d', 'o')",1
"('o', 'd')",1
"('d', 'is')",1
"('is', 'such')",1
"('a', 'festival')",1
"('festival', 'banger')",1
"('banger', 'and')",1
"('and', 'with')",1
"('with', 'those')",1
"('those', 'incredible')",1
"('incredible', 'vocals')",1
"('vocals', 'we')",1
"('we', 'couldnt')",1
"('couldnt', 'help')",1
"('help', 'but')",1
"('but', 'take')",1
"('take', 'a')",1
"('a', 'stab')",1
"('stab', 'at')",1
"('at', 'making')",1
"('making', 'it')",1
"('it', 'dubstep')",1
"('dubstep', 'support')",1
"('support', 'prettysweet')",1
"('prettysweet', 'instagram')",1
"('instagram', 'wwwinstagramcomwhoisprettysweet')",1
"('wwwinstagramcomwhoisprettysweet', 'spotify')",1
"('spotify', 'openspotifycomartisttgxccjxxstrkgzbjncmg')",1
"('openspotifycomartisttgxccjxxstrkgzbjncmg', 'tiktok')",1
"('tiktok', 'whoisprettysweet')",1
"('whoisprettysweet', 'x')",1
"('x', 'xcomprettyfnsweet')",1
"('xcomprettyfnsweet', 'follow')",1
"('follow', 'aadysi')",1
"('aadysi', 'soundcloud')",1
"('soundcloud', 'httpssoundcloudcomaadysi')",1
"('httpssoundcloudcomaadysi', 'spotify')",1
"('spotify', 'openspotifycomartistwplxuuvxplcwujcacr')",1
"('openspotifycomartistwplxuuvxplcwujcacr', 'instagram')",1
"('instagram', 'wwwinstagramcomaadysi')",1
"('wwwinstagramcomaadysi', 'tiktok')",1
"('tiktok', 'wwwtiktokcomaadysi')",1
"('wwwtiktokcomaadysi', 'facebook')",1
"('facebook', 'wwwfacebookcomaadysi')",1
"('wwwfacebookcomaadysi', 'youtube')",1
"('youtube', 'wwwyoutubecomchannelucjzvwvavegwwklfaxksuhg')",1
"('wwwyoutubecomchannelucjzvwvavegwwklfaxksuhg', 'website')",1
"('website', 'wwwaadysicom')",1
"('wwwaadysicom', 'cest')",1
"('cest', 'pas')",1
"('pas', 'la')",1
"('la', 'mme')",1
"('mme', 'zik')",1
"('zik', 'pas')",1
"('pas', 'les')",1
"('les', 'mme')",1
"('mme', 'trucs')",1
"('trucs', 'hey')",1
"('hey', 'bb')",1
"('bb', 'first')",1
"('year', 'whatever')",1
"('whatever', 'it')",1
"('it', 'is')",1
"('is', 'ur')",1
"('ur', 'looking')",1
"('looking', 'for')",1
"('for', 'i')",1
"('i', 'hope')",1
"('hope', 'u')",1
"('u', 'keep')",1
"('keep', 'searching')",1
"('searching', 'for')",1
"('for', 'it')",1
"('it', 'follow')",1
"('me', 'httpgurfxyz')",1
"('httpgurfxyz', 'thank')",1
"('thank', 'u')",1
"('u', 'lasse')",1
"('lasse', 'for')",1
"('for', 'smashing')",1
"('smashing', 'the')",1
"('the', 'artwork')",1
"('artwork', 'instrumental')",1
"('beat', 'available')",1
"('available', 'for')",1
"('for', 'premium')",1
"('premium', 'download')",1
"('download', 'im')",1
"('im', 'the')",1
"('the', 'dubstep')",1
"('dubstep', 'girl')",1
"('girl', 'alive')",1
"('alive', 'wwwtwittercomlowpolysound')",1
"('wwwtwittercomlowpolysound', 'wwwinstagramcomlowpolysound')",1
"('wwwinstagramcomlowpolysound', 'wwwfacebookcomlowpolysound')",1
"('wwwfacebookcomlowpolysound', 'wwwlow')",1
"('wwwlow', 'polybandcampcom')",1
"('polybandcampcom', 'qgr')",1
"('qgr', 'rexydexy')",1
"('rexydexy', 'lautre')",1
"('lautre', 'come')",1
"('come', 'with')",1
"('me', 'httpslnkqgrecscomcome')",1
"('httpslnkqgrecscomcome', 'with')",1
"('me', 'rexydexy')",1
"('rexydexy', 'httpsaudiuscorexydexy')",1
"('httpsaudiuscorexydexy', 'lautre')",1
"('lautre', 'httpsaudiuscoprodlautre')",1
"('httpsaudiuscoprodlautre', 'join')",1
"('our', 'channel')",1
"('channel', 'httpsaudiuscoqgrecs')",1
"('httpsaudiuscoqgrecs', 'visit')",1
"('visit', 'our')",1
"('our', 'store')",1
"('store', 'httpsqgr')",1
"('httpsqgr', 'merchmyshopifycom')",1
"('merchmyshopifycom', 'join')",1
"('our', 'discord')",1
"('discord', 'server')",1
"('server', 'httpsdiscordcominviterqwhwraxd')",1
"('httpsdiscordcominviterqwhwraxd', 'spotify')",1
"('spotify', 'httpbitlyqgrspotify')",1
"('httpbitlyqgrspotify', 'find')",1
"('find', 'us')",1
"('us', 'at')",1
"('at', 'httpsqualitygoodsrecordscom')",1
"('httpsqualitygoodsrecordscom', 'follow')",1
"('us', 'on')",1
"('social', 'instagram')",1
"('instagram', 'httpsinstagramcomqualitygoodsrecs')",1
"('httpsinstagramcomqualitygoodsrecs', 'twitter')",1
"('twitter', 'httpstwittercomqgrecs')",1
"('httpstwittercomqgrecs', 'facebook')",1
"('facebook', 'httpsfacebookcomqualitygoodsrecs')",1
"('httpsfacebookcomqualitygoodsrecs', 'soundcloud')",1
"('soundcloud', 'httpssoundcloudcomqualitygoodsrecs')",1
"('httpssoundcloudcomqualitygoodsrecs', 'submit')",1
"('submit', 'your')",1
"('your', 'music')",1
"('music', 'httpswwwqgrecscomsubmityourmusic')",1
"('httpswwwqgrecscomsubmityourmusic', 'httpswwwlabelradarcomlabelsqualitygoodsrecordsportal')",1
"('httpswwwlabelradarcomlabelsqualitygoodsrecordsportal', 'edm')",1
"('edm', 'dancemusic')",1
"('dancemusic', 'electronicmusic')",1
"('electronicmusic', 'qualitygoodsrecords')",1
"('qualitygoodsrecords', 'been')",1
"('been', 'hearing')",1
"('hearing', 'this')",1
"('one', 'in')",1
"('my', 'head')",1
"('head', 'for')",1
"('for', 'quite')",1
"('quite', 'some')",1
"('some', 'time')",1
"('time', 'so')",1
"('so', 'im')",1
"('im', 'super')",1
"('super', 'happy')",1
"('happy', 'that')",1
"('that', 'i')",1
"('i', 'finally')",1
"('finally', 'found')",1
"('found', 'the')",1
"('the', 'time')",1
"('time', 'to')",1
"('remix', 'this')",1
"('this', 'masterpiece')",1
"('masterpiece', 'free')",1
"('download', 'hypedditcomshizzlomidnightcityshizzloflip')",1
"('hypedditcomshizzlomidnightcityshizzloflip', 'show')",1
"('show', 'me')",1
"('me', 'the')",1
"('the', 'way')",1
"('way', 'is')",1
"('is', 'the')",1
"('the', 'latest')",1
"('latest', 'release')",1
"('release', 'from')",1
"('from', 'milkwish')",1
"('milkwish', 'featuring')",1
"('featuring', 'rising')",1
"('rising', 'singer')",1
"('singer', 'songwriter')",1
"('songwriter', 'mike')",1
"('mike', 'konstanty')",1
"('konstanty', 'framed')",1
"('framed', 'as')",1
"('a', 'progressive')",1
"('progressive', 'house')",1
"('house', 'track')",1
"('track', 'it')",1
"('it', 'incorporates')",1
"('incorporates', 'afro')",1
"('house', 'elements')",1
"('elements', 'to')",1
"('a', 'dynamic')",1
"('dynamic', 'and')",1
"('and', 'ibiza')",1
"('ibiza', 'ready')",1
"('ready', 'experience')",1
"('experience', 'art')",1
"('by', 'felipe')",1
"('vicente', 'listen')",1
"('listen', 'more')",1
"('more', 'in')",1
"('the', 'link')",1
