Bigram,Frequência
"('boombapinstrumentalbeatsjoeybadassoldskoolbeatmpcdoom', 'gecsremix')",1
"('gecsremix', 'edmelectronicdancemusicqualitygoodsrecordslautrerexydexy')",1
"('edmelectronicdancemusicqualitygoodsrecordslautrerexydexy', 'technoedmravedance')",1
"('technoedmravedance', 'elyahutheweeknd')",1
"('elyahutheweeknd', 'milkwishmikekonstantyelectronicprogressivehouseblackholeblackholerecordings')",1
"('milkwishmikekonstantyelectronicprogressivehouseblackholeblackholerecordings', 'musicelectronicelectronicmusicelectronicafelipedevicente')",1
"('musicelectronicelectronicmusicelectronicafelipedevicente', 'sublowgrimedubbassmusic')",1
"('sublowgrimedubbassmusic', 'ukgukgaragebreakselectrodubstep')",1
"('ukgukgaragebreakselectrodubstep', 'dubsteptrapbassmusicedmbassrush')",1
"('dubsteptrapbassmusicedmbassrush', 'ukggaragebreaksbreakbeatremixpompompurinbouncechillvibeyuwu')",1
"('ukggaragebreaksbreakbeatremixpompompurinbouncechillvibeyuwu', 'rottenabductionaspirehighertunetuesdaybassbassmusicdubstepdubexperimental')",1
"('rottenabductionaspirehighertunetuesdaybassbassmusicdubstepdubexperimental', 'psalmtreesalexanderfromscratchchillhopcr')",1
"('psalmtreesalexanderfromscratchchillhopcr', 'riddim')",1
"('riddim', 'muttjeromesydorlunaclaraarabicafrotribalhousetechnodeephousemiddleeasttrending')",1
"('muttjeromesydorlunaclaraarabicafrotribalhousetechnodeephousemiddleeasttrending', 'talkboxcovernikkecosmographfunkfuturefunknufunkglitchfuturistictechy')",1
"('talkboxcovernikkecosmographfunkfuturefunknufunkglitchfuturistictechy', 'kayelkaydeftdesignenormousaspirehighertunetuesdaybassbassmusicdubstepexperimental')",1
"('kayelkaydeftdesignenormousaspirehighertunetuesdaybassbassmusicdubstepexperimental', 'upliftingeuphoricenergy')",1
"('upliftingeuphoricenergy', 'edmelectronicdancemusic')",1
"('edmelectronicdancemusic', 'liquiddnbelectronicinstrumental')",1
"('liquiddnbelectronicinstrumental', 'basstrapnewnewmusichotgymworkoutedmaudiustop')",1
"('basstrapnewnewmusichotgymworkoutedmaudiustop', 'ellensevenmachoqlastseasideeytfuturegarageelectronicbassmusicpyriaudius')",1
"('ellensevenmachoqlastseasideeytfuturegarageelectronicbassmusicpyriaudius', 'housedowntempochillchilloutveryyesbronzewhalesofasoundremixedmdance')",1
"('housedowntempochillchilloutveryyesbronzewhalesofasoundremixedmdance', 'chendasadboisrocktronicmelodicbassmusicdubstep')",1
"('chendasadboisrocktronicmelodicbassmusicdubstep', 'dubstepedmriddimriddimdubstep')",1
"('dubstepedmriddimriddimdubstep', 'cryjaxxchrisbrowngimmethataudius')",1
"('cryjaxxchrisbrowngimmethataudius', 'danceworldbailefunkbeats')",1
"('danceworldbailefunkbeats', 'basshousehousetechnokelland')",1
"('basshousehousetechnokelland', 'bassexpirementalmouthebronzewhalesofasoundremixdanceedmtrapdubstep')",1
"('bassexpirementalmouthebronzewhalesofasoundremixdanceedmtrapdubstep', 'jazzhiphopboombapinstrumental')",1
"('jazzhiphopboombapinstrumental', 'trapdubstep')",1
"('trapdubstep', 'ukgdancehouse')",1
"('ukgdancehouse', 'knnightfallnightfallbostonedmdancetrapbassfalling')",1
"('knnightfallnightfallbostonedmdancetrapbassfalling', 'newmusicrschiphopaudiusmusiccypherentertainmentrapanonymous')",1
"('newmusicrschiphopaudiusmusiccypherentertainmentrapanonymous', 'hardtechnotechnohardmusicelectronicacid')",1
"('hardtechnotechnohardmusicelectronicacid', 'riddimtrenchbass')",1
"('riddimtrenchbass', 'progressivehousedancemelodicprogressivehouseelectronicmusictechno')",1
"('progressivehousedancemelodicprogressivehouseelectronicmusictechno', 'alanwattslofimeaningwave')",1
"('alanwattslofimeaningwave', 'cryjaxxfeinlucymalfroytravisscott')",1
"('cryjaxxfeinlucymalfroytravisscott', 'dnbdrumandbassavaionbassbassmusicmelodic')",1
"('dnbdrumandbassavaionbassbassmusicmelodic', 'bwompstershawnwhobustitaspirehighertunetuesdaybassbassmusicdubstepexperimental')",1
